=== 1: Old Burmese <<->> ===
== Pattern 1: -:⁵⁵:-:- ==
| ID                                     | OBurm     | Acha-LC              | Maru                | Bola                |
| 10226 ("snap (a thread)")                | Ø       | <phʐat³⁵> | <phjik⁵⁵> | <phjɔt⁵⁵> |

=== 63: Old Burmese <<phr>> ===
== Pattern 1: phr:k:kj:kj ==
| ID                                      | OBurm    | Acha-LC      | Maru          | Bola          |
|-----------------------------------------|----------|--------------|---------------|---------------|
|                                         | phr      | k            | kj            | kj            |
| 1829 ("charcoal")                       | Ø        | laŋ³¹<ka³¹>  | mjĭ³⁵<kjø³⁵>  | mi³¹<kjø³¹>   |
| 4567 ("fungus (edible)")                | Ø        | mau⁵⁵<kun⁵¹> | mau⁵¹<kjiŋ²¹> | mau⁵⁵<kjɔn³¹> |
| 2356 ("collapse / cave in / fall down") | <phruiw> | Ø            | <kjøʔ³¹>      | <kjøʔ³¹>      |

=== 64: Old Burmese <<pj>> ===
== Pattern 1: pj:tʂ:ʔj:ʔj ==
| ID           | OBurm   | Acha-LC   | Maru   | Bola   |
|--------------|---------|-----------|--------|--------|
|              | pj      | tʂ        | ʔj     | ʔj     |
| 4322 ("fly") | <yaṅ>   | <tʂam⁵⁵>  | <tɔ̃³⁵> | <tɔ̃³¹> |

=== 65: Old Burmese <<pl>> ===
== Pattern 1: pl:pʐ:pj:pj ==
| ID                                              | OBurm   | Acha-LC     | Maru           | Bola           |
|-------------------------------------------------|---------|-------------|----------------|----------------|
|                                                 | pl      | pʐ          | pj             | pj             |
| 782 ("bee")                                     | Ø       | Ø           | <pjɔ̆³⁵>jɔ̃³¹    | <pja³¹>        |
| 1316 ("break up (meeting) / end")               | Ø       | Ø           | <pjɔ³¹>        | <pja⁵⁵>        |
| 1621 ("cape (for rain, of straw or palm bark)") | Ø       | Ø           | <pjam³¹>       | <pjam⁵⁵>       |
| 2421 ("common people")                          | Ø       | Ø           | maŋ³¹<pju³¹>   | maŋ³¹<pju⁵⁵>   |
| 3142 ("disappear / vanish")                     | Ø       | Ø           | <pjauk³¹>      | <pjauʔ³¹>      |
| 3392 ("drop")                                   | Ø       | Ø           | <pjik³¹>kjɔ⁵⁵  | <pjɔt³¹>kja³⁵  |
| 4368 ("fool / blockhead")                       | Ø       | Ø           | <pjŭ³¹>ŋɔk³¹   | <pju⁵⁵>ka⁵⁵    |
| 5620 ("human being")                            | Ø       | Ø           | <pju³¹>na³⁵    | <pju⁵⁵>na³¹    |
| 5888 ("jump")                                   | Ø       | Ø           | <pjɛ̃³¹>        | <pjɛ̃⁵⁵>        |
| 6636 ("make a row, racket")                     | Ø       | Ø           | <pjɔʔ⁵⁵>la̱m³¹  | <pjaʔ³¹>       |
| 7354 ("numb, be")                               | Ø       | Ø           | <pjan³¹>       | <pjaŋ⁵⁵>       |
| 7752 ("pal / partner")                          | Ø       | Ø           | <pjiŋ³¹>tshɔ̆³⁵ | <pjɔn⁵⁵>tʃhɔ̃³⁵ |
| 7856 ("patient")                                | Ø       | Ø           | nɔ³¹<pju³¹>    | na⁵⁵<pju⁵⁵>    |
| 10709 ("stingy")                                | Ø       | Ø           | <pjak³¹>       | <pjak³¹>       |
| 4565 ("full, be / filled up")                   | Ø       | <pʐəŋ³⁵>    | <pjaŋ⁵⁵>       | <pjaŋ³⁵>       |
| 9215 ("rock")                                   | Ø       | <pʐaŋ⁵⁵>    | <pjɔʔ³¹>kjat³¹ | <pjaʔ³¹>tu̱i³⁵  |
| 10230 ("snap (thread)")                         | Ø       | <pʐat⁵⁵>    | <pjik³¹>       | <pjɔt³¹>       |
| 4564 ("full")                                   | <plañʔ> | <pʐəŋ³⁵>    | <pjaŋ⁵⁵>       | <pjaŋ³⁵>       |
| 10329 ("soul / spirit")                         | Ø       | a³¹<pʐua⁵⁵> | sə̆³¹<pjɔ³¹>    | Ø              |

=== 66: Old Burmese <<pr>> ===
== Pattern 1: pr:pʰ:ph:ph ==
| ID                                                  | OBurm    | Acha-LC            | Maru             | Bola             |
|-----------------------------------------------------|----------|--------------------|------------------|------------------|
|                                                     | pr       | pʰ                 | ph               | ph               |
| 339 ("ant")                                         | Ø        | Ø                  | <phə̆³¹>ɣuk³¹     | <phə̆³¹>ɣɔʔ³¹     |
| 679 ("bat")                                         | Ø        | Ø                  | <phɔʔ⁵⁵>xək⁵⁵    | <phaʔ⁵⁵>xəi³¹    |
| 1237 ("box / case")                                 | Ø        | Ø                  | <phan³⁵>xɔ⁵¹     | <phan³¹>xɔ⁵¹     |
| 3504 ("dust")                                       | Ø        | Ø                  | <phɔ̆i³⁵>lu̱k³¹    | <phə̆³¹>lau⁵⁵     |
| 3789 ("escape / run away")                          | Ø        | Ø                  | <phɔ̃³¹>          | <phɔ̃⁵⁵>          |
| 3830 ("expensive")                                  | Ø        | Ø                  | <phuk⁵⁵>         | <phau³⁵>         |
| 3980 ("fertilizer / manure")                        | Ø        | Ø                  | <phun³⁵>         | <phun³⁵>         |
| 4284 ("flour")                                      | Ø        | Ø                  | mjɛn³⁵<phɔi³¹>   | mjɛn³⁵<phui³⁵>   |
| 4883 ("ancestors / forebears")                      | Ø        | Ø                  | a³¹<phuk⁵⁵>      | a⁵⁵<phau³⁵>      |
| 5845 ("itch / tickle")                              | Ø        | Ø                  | <phan³⁵>         | <phɔn³⁵>         |
| 8270 ("plough / till")                              | Ø        | Ø                  | <phauk⁵⁵>        | <phauʔ⁵⁵>        |
| 8572 ("punch a hole / perforate")                   | Ø        | Ø                  | <phuŋ⁵⁵>         | la̱ʔ⁵⁵<phuŋ³¹>    |
| 10429 ("spit")                                      | Ø        | Ø                  | <phø³⁵>          | <phø³⁵>          |
| 11838 ("tray (wooden)")                             | Ø        | Ø                  | <phun³¹>         | sak⁵⁵<phun³¹>    |
| 11954 ("turn over (on bed)")                        | Ø        | Ø                  | kauŋ³¹<phauk⁵⁵>  | <phauʔ⁵⁵>        |
| 11964 ("turtledove")                                | Ø        | Ø                  | <phauŋ⁵⁵>kju̱k⁵⁵  | <phauŋ³¹>kju̱³⁵   |
| 1784 ("chaff / bran")                               | Ø        | oʔ⁵⁵<phoi³¹>tɕeʔ³¹ | vɔʔ³¹<phɔi³⁵>    | vaʔ³¹<phui³⁵>    |
| 2930 ("day after tomorrow")                         | Ø        | <phă⁵⁵>ȵen³¹       | sɔ̃³¹<phɔ⁵⁵>nɛʔ³¹ | sɔ⁵⁵<pha⁵⁵>nɛʔ³¹ |
| 3934 ("father-in-law")                              | Ø        | <phɔ³¹>tʂau³¹      | jauk³¹<phɔ⁵⁵>    | jauʔ³¹<pha³⁵>    |
| 4909 ("grape")                                      | Ø        | <phu³¹>thau³¹      | <phu³¹>thau³⁵    | <phu³¹>thau⁵⁵    |
| 7547 ("open")                                       | Ø        | <phɔŋ³⁵>           | <phuŋ⁵⁵>         | <phuŋ³⁵>         |
| 7551 ("lift (the lid)")                             | Ø        | <phɔŋ³⁵>           | <phuŋ⁵⁵>         | <phuŋ³⁵>         |
| 8244 ("plate / dish")                               | Ø        | <phan³¹>           | <phan³¹>         | <phan³¹>         |
| 10874 ("sugarcane")                                 | Ø        | <phă⁵⁵>liŋ⁵⁵       | <phauŋ³⁵>tʃhuk³¹ | <phauŋ³⁵>tʃhu⁵⁵  |
| 11547 ("three days from now")                       | Ø        | <phă⁵⁵>ȵui⁵⁵       | pə̆³¹<phɔ⁵⁵>nɛʔ³¹ | pa⁵⁵<pha⁵⁵>nɛʔ³¹ |
| 11929 ("turn inside out (clothing) or the reverse") | Ø        | <phuʔ⁵⁵>           | <phauk⁵⁵>        | <phauʔ⁵⁵>        |
| 12039 ("uncle (father's elder brother)")            | Ø        | luŋ⁵⁵<phaʔ⁵⁵>      | <phɔ̆⁵⁵>mɔ⁵⁵      | <phə̆⁵⁵>ma³¹      |
| 12136 ("untie / undo")                              | Ø        | <phək⁵⁵>           | <phak⁵⁵>         | la̱ʔ⁵⁵<phəi⁵⁵>    |
| 1529 ("butterfly")                                  | lip<pra> | <phă³¹>ʐam³⁵tʂam⁵⁵ | <phə̆³¹>lɛ̱̃³¹      | <phə̆³¹>lɛ̃⁵⁵      |
| 6 ("Buddha")                                        | Ø        | <phă⁵⁵>ʐa⁵⁵        | Ø                | <phə̆⁵⁵>ʒa⁵⁵      |
| 6392 ("line up")                                    | Ø        | <phaiʔ³¹>          | <phai³¹>         | Ø                |
| 1067 ("blue")                                       | <pra>    | Ø                  | Ø                | Ø                |
| 3187 ("do / be in business")                        | Ø        | Ø                  | Ø                | <phə̆⁵⁵>ka³¹pju⁵⁵ |

== Pattern 2: pr:pʰʐ:ˀpj:ˀpj ==
| ID                                 | OBurm   | Acha-LC   | Maru           | Bola           |
|------------------------------------|---------|-----------|----------------|----------------|
|                                    | pr      | pʰʐ       | ˀpj            | ˀpj            |
| 3449 ("duck")                      | Ø       | Ø         | <pjɛ̱t⁵⁵>       | <pjɛ̱t⁵⁵>       |
| 3966 ("fence (bamboo / twig)")     | Ø       | Ø         | tshai⁵⁵<pjɛ̱³¹> | tshai³⁵<pjɛ̱³¹> |
| 6320 ("lifetime")                  | Ø       | Ø         | <pja̱t³¹>       | <pja̱t³¹>       |
| 8424 ("pour or throw out (water)") | Ø       | Ø         | fɛ̱ʔ⁵⁵<pjɛ̱⁵⁵>   | tɛ̱ʔ⁵⁵<pjɛ̱ʔ⁵⁵>  |
| 11580 ("throw / hurl")             | Ø       | Ø         | <pjɛ̱ʔ⁵⁵>       | <pjɛ̱ʔ⁵⁵>       |
| 2387 ("comb")                      | Ø       | <phʐa³¹>  | <pjɛ̱³⁵>        | <pjɛ̱³⁵>        |
| 8387 ("porcupine")                 | Ø       | <phʐo⁵⁵>  | <pju̱³¹>        | <pju̱⁵⁵>        |
| 4207 ("flat / shallow")            | <praḥ>  | Ø         | Ø              | <pjɛ̱³⁵>        |

== Pattern 3: pr:pʐ:pj:pj ==
| ID            | OBurm   | Acha-LC   | Maru     | Bola     |
|---------------|---------|-----------|----------|----------|
|               | pr      | pʐ        | pj       | pj       |
| 10322 ("pus") | <prañ>  | <pʐəŋ⁵⁵>  | <pjaŋ³¹> | <pjaŋ⁵⁵> |

=== 67: Old Burmese <<r>> ===
== Pattern 1: r:ʐ:j:j ==
| ID                                              | OBurm     | Acha-LC        | Maru                  | Bola                   |
|-------------------------------------------------|-----------|----------------|-----------------------|------------------------|
|                                                 | r         | ʐ              | j                     | j                      |
| 31 ("February")                                 | Ø         | Ø              | lɔ̱⁵⁵ʃi̱k⁵⁵<khjɛʔ⁵⁵>    | ə³⁵<jɛ³¹>              |
| 49 ("January")                                  | Ø         | Ø              | lɔ̱⁵⁵tă³¹<khjɛʔ⁵⁵>     | tʃin³⁵<jɛ³¹>           |
| 237 ("alone")                                   | Ø         | Ø              | tă³¹<jauk³¹>          | <jɔ̃³¹>                 |
| 422 ("ask s.b. to come here / fetch")           | Ø         | Ø              | <jɔ̃³¹>                | <jɔ̃⁵⁵>                 |
| 428 ("askew / awry / slanting")                 | Ø         | Ø              | <ja̱k⁵⁵>               | <ja̱k⁵⁵>                |
| 476 ("aunt (mother's brother's wife)")          | Ø         | Ø              | jauk³¹<mji̱⁵⁵>         | <jauʔ³¹>mi̱³⁵           |
| 528 ("awn of wheat")                            | Ø         | Ø              | mɛ³¹<ja³¹>tshɛ̃³¹      | mɛ³¹<ja⁵¹>tu³¹         |
| 634 ("banana (plantain)")                       | Ø         | Ø              | ŋɔʔ³¹<mjauk³¹>        | ŋaʔ³¹<mjauʔ³¹>         |
| 782 ("bee")                                     | Ø         | Ø              | <pjɔ̆³⁵>jɔ̃³¹           | <pja³¹>                |
| 1316 ("break up (meeting) / end")               | Ø         | Ø              | <pjɔ³¹>               | <pja⁵⁵>                |
| 1319 ("break up / scatter")                     | Ø         | Ø              | lɔ̱ʔ⁵⁵<phjauk⁵⁵>       | pɛʔ³¹<mja̱⁵⁵>           |
| 1456 ("building")                               | Ø         | Ø              | <kjɛ̃³¹>               | <kjɛ̃³¹>                |
| 1520 ("busy")                                   | Ø         | Ø              | <kjin⁵⁵>              | <kjin³¹>               |
| 1601 ("called, be / named")                     | Ø         | Ø              | <jɔ̃³¹>                | mjaŋ⁵⁵<jɔ̃⁵⁵>           |
| 1621 ("cape (for rain, of straw or palm bark)") | Ø         | Ø              | <pjam³¹>              | <pjam⁵⁵>               |
| 2389 ("comb")                                   | Ø         | Ø              | <kjɔ̱ʔ⁵⁵>              | <kja̱ʔ⁵⁵>               |
| 2421 ("common people")                          | Ø         | Ø              | maŋ³¹<pju³¹>          | maŋ³¹<pju⁵⁵>           |
| 2483 ("consult / discuss")                      | Ø         | Ø              | <phjɛ⁵⁵>              | <phjɛ³⁵>               |
| 2513 ("copper (note:+red)")                     | Ø         | Ø              | <kjik⁵⁵>              | <kji³¹>                |
| 2762 ("chisel / bore (a hole)")                 | Ø         | Ø              | <kja̱uŋ³⁵>             | <kja̱uŋ³⁵>              |
| 3142 ("disappear / vanish")                     | Ø         | Ø              | <pjauk³¹>             | <pjauʔ³¹>              |
| 3290 ("downstairs")                             | Ø         | Ø              | <kjɛ̃³⁵>thɔʔ⁵⁵         | <kjɛ̃³¹>thaʔ⁵⁵          |
| 3392 ("drop")                                   | Ø         | Ø              | <pjik³¹>kjɔ⁵⁵         | <pjɔt³¹>kja³⁵          |
| 3449 ("duck")                                   | Ø         | Ø              | <pjɛ̱t⁵⁵>              | <pjɛ̱t⁵⁵>               |
| 3529 ("each / every")                           | Ø         | Ø              | khə̆³¹<jauk³¹>         | khak⁵⁵<jauʔ³¹>         |
| 3608 ("eaten one's fill, have")                 | Ø         | Ø              | <kji³⁵>               | <kji³¹>                |
| 3876 ("fall down (a house) / collapse")         | Ø         | Ø              | <kjøʔ³¹>              | <pjaʔ³¹>               |
| 3937 ("father-in-law")                          | Ø         | Ø              | <jauk³¹>mji̱⁵⁵         | <jauʔ³¹>mi̱³⁵           |
| 3966 ("fence (bamboo / twig)")                  | Ø         | Ø              | tshai⁵⁵<pjɛ̱³¹>        | tshai³⁵<pjɛ̱³¹>         |
| 4021 ("fields (wheat etc.)")                    | Ø         | Ø              | <jɔ³¹>                | <ji³¹>thauŋ³⁵ji³¹kaʔ⁵⁵ |
| 4109 ("finger (little)")                        | Ø         | Ø              | lɔʔ²¹thɔ̃⁵⁵<ŋju̱k⁵⁵>    | laʔ³¹thɔ̃³⁵<ŋju̱ŋ³⁵>     |
| 4128 ("fingersbreadth")                         | Ø         | Ø              | <ŋju̱ʔ⁵⁵>              | <ŋju̱ŋ³⁵>               |
| 4271 ("float")                                  | Ø         | Ø              | <mjuŋ³⁵>              | <mjuŋ³¹>               |
| 4368 ("fool / blockhead")                       | Ø         | Ø              | <pjŭ³¹>ŋɔk³¹          | <pju⁵⁵>ka⁵⁵            |
| 4410 ("forest")                                 | Ø         | Ø              | tă³¹<jɔ³¹>ta³¹        | tă³¹<ja⁵⁵>ta³¹         |
| 4706 ("get / fetch")                            | Ø         | Ø              | <ju³¹>                | <ju⁵⁵>nɔ̱̃⁵⁵             |
| 4980 ("grow (a boil)")                          | Ø         | Ø              | <jauk³¹>              | <jauʔ⁵⁵>               |
| 5357 ("hide (sthg.)")                           | Ø         | Ø              | <ŋja̱m³⁵>              | <ŋja̱m³⁵>               |
| 5620 ("human being")                            | Ø         | Ø              | <pju³¹>na³⁵           | <pju⁵⁵>na³¹            |
| 5685 ("hurriedly / hastily")                    | Ø         | Ø              | kĕ³¹<kjin³¹>kə̆³¹maŋ³¹ | kjin³¹<kjin³¹>         |
| 5774 ("industrious / hardworking")              | Ø         | Ø              | <kjɛ̱t³¹>              | <kjɛ̱t²¹>               |
| 5888 ("jump")                                   | Ø         | Ø              | <pjɛ̃³¹>               | <pjɛ̃⁵⁵>                |
| 5961 ("kitchen")                                | Ø         | Ø              | tsɔ³¹tʃɔ̱ʔ⁵⁵<ja̱m⁵⁵>    | ta⁵⁵tʃa̱ʔ⁵⁵<ja̱m⁵⁵>      |
| 6071 ("ladle (gourd) / dipper (wooden)")        | Ø         | Ø              | <phjau³¹>             | <phjau³¹>              |
| 6265 ("letter")                                 | Ø         | Ø              | ʃə̆³¹<kja̱m³⁵>          | ʃə̆³¹<kja̱m³⁵>           |
| 6274 ("lick / lap")                             | Ø         | Ø              | <jɔʔ³¹>               | <jaʔ³¹>                |
| 6320 ("lifetime")                               | Ø         | Ø              | <pja̱t³¹>              | <pja̱t³¹>               |
| 6387 ("line (of wheat)")                        | Ø         | Ø              | <jan³⁵>               | <jan³⁵>                |
| 6636 ("make a row, racket")                     | Ø         | Ø              | <pjɔʔ⁵⁵>la̱m³¹         | <pjaʔ³¹>               |
| 6652 ("make way for / give way")                | Ø         | Ø              | <jaŋ³⁵>               | <jaŋ³⁵>                |
| 6958 ("mirror")                                 | Ø         | Ø              | <mjoʔ³¹>tʃam³¹        | <mjaʔ³¹>tʃam⁵⁵         |
| 7261 ("night's (work)")                         | Ø         | Ø              | <mji³¹>               | <mjɔn⁵⁵>               |
| 7268 ("night, at / evening, in the")            | Ø         | Ø              | <mji⁵⁵>               | <mjɔn³⁵>               |
| 7343 ("notify / inform")                        | Ø         | Ø              | ta̱⁵⁵<kjo̱³¹>           | ti̱³⁵<kja̱³⁵>            |
| 7354 ("numb, be")                               | Ø         | Ø              | <pjan³¹>              | <pjaŋ⁵⁵>               |
| 7472 ("on the other side (of a riv")            | Ø         | Ø              | <kjɔ̱³¹>               | <kja̱⁵⁵>                |
| 7710 ("paddy fields")                           | Ø         | Ø              | <jɔ̆³¹>thauŋ³⁵         | <ji³¹>thauŋ³⁵          |
| 7752 ("pal / partner")                          | Ø         | Ø              | <pjiŋ³¹>tshɔ̆³⁵        | <pjɔn⁵⁵>tʃhɔ̃³⁵         |
| 7856 ("patient")                                | Ø         | Ø              | nɔ³¹<pju³¹>           | na⁵⁵<pju⁵⁵>            |
| 7954 ("peel off (paint)")                       | Ø         | Ø              | <kjat³¹>              | <kjɔt³¹>               |
| 8373 ("poor")                                   | Ø         | Ø              | <mjauŋ³¹>             | <mjauŋ⁵⁵>              |
| 8424 ("pour or throw out (water)")              | Ø         | Ø              | fɛ̱ʔ⁵⁵<pjɛ̱⁵⁵>          | tɛ̱ʔ⁵⁵<pjɛ̱ʔ⁵⁵>          |
| 8696 ("rack (pack)")                            | Ø         | Ø              | <kja³⁵>               | <kja³⁵>                |
| 8961 ("reserve (seeds)")                        | Ø         | Ø              | <mju̱k³¹>              | <mjɔ̱t⁵⁵>               |
| 9311 ("rust")                                   | Ø         | Ø              | tsɔ̆³⁵<kjik⁵⁵>         | ta⁵⁵<kji³¹>tui³¹       |
| 9344 ("sad")                                    | Ø         | Ø              | <jɔn³⁵>               | <jɔn³⁵>                |
| 9458 ("scold")                                  | Ø         | Ø              | na̱k⁵⁵<jɔ³¹>           | nak⁵⁵<ja³¹>            |
| 10452 ("split up (bamboo strips)")              | Ø         | Ø              | <phjɔ³¹>              | <phja⁵⁵>               |
| 10536 ("squirrel")                              | Ø         | Ø              | <jiŋ⁵⁵>pɛʔ⁵⁵          | <jɔn³⁵>tʃhɔ̃⁵⁵          |
| 10696 ("sticky / glutinous")                    | Ø         | Ø              | <kjɔi³⁵>              | <kjɔ̱n³⁵>               |
| 10709 ("stingy")                                | Ø         | Ø              | <pjak³¹>              | <pjak³¹>               |
| 11141 ("tasty / delicious")                     | Ø         | Ø              | <mjɔ̱ʔ⁵⁵>              | <mja̱ʔ⁵⁵>               |
| 11218 ("temper")                                | Ø         | Ø              | a³¹<kja̱ŋ⁵⁵>           | a³¹<kja̱ŋ⁵⁵>            |
| 11436 ("thinner, get (body)")                   | Ø         | Ø              | <kji⁵⁵>               | <kji³⁵>                |
| 11580 ("throw / hurl")                          | Ø         | Ø              | <pjɛ̱ʔ⁵⁵>              | <pjɛ̱ʔ⁵⁵>               |
| 11727 ("tomorrow night / evening")              | Ø         | Ø              | nɛʔ³¹<mji³¹>          | nɛʔ³¹<mjɔn³⁵>          |
| 11873 ("trivet")                                | Ø         | Ø              | <kjɔ̱³¹>               | <kja̱⁵⁵>                |
| 11965 ("turtledove")                            | Ø         | Ø              | phauŋ⁵⁵<kju̱k⁵⁵>       | phauŋ³¹<kju̱³⁵>         |
| 12018 ("ugly")                                  | Ø         | Ø              | mə̆³¹<jauŋ⁵⁵>          | a³¹<jauŋ³⁵>            |
| 12135 ("unseam (clothing)")                     | Ø         | Ø              | <phjɔʔ⁵⁵>             | <phjaʔ⁵⁵>              |
| 12363 ("soldier")                               | Ø         | Ø              | <kjɛ³¹>pak³¹pak³¹     | <kjɛ⁵⁵>pak⁵⁵pak³¹      |
| 12799 ("winter")                                | Ø         | Ø              | <kjɔʔ³¹>mjɔ³¹         | <kjaʔ³¹>mja⁵⁵          |
| 12800 ("winter")                                | Ø         | Ø              | kjɔʔ³¹<mjɔ³¹>         | kjaʔ³¹<mja⁵⁵>          |
| 12817 ("withdraw / take out")                   | Ø         | Ø              | <ju³¹>thuk⁵⁵          | <ju³¹>thɔʔ⁵⁵           |
| 1281 ("bray")                                   | Ø         | <mʐəŋ⁵⁵>       | <mjaŋ³¹>              | <mjaŋ⁵⁵>               |
| 1307 ("break / snap (stick)")                   | Ø         | <kʐau³¹>       | <kjuk⁵⁵>              | <kju³¹>                |
| 1369 ("broken, be (bowls)")                     | Ø         | <kʐop⁵⁵>       | <kjøʔ³¹>              | <kjøʔ³¹>               |
| 1518 ("bury")                                   | Ø         | <m̥ʐop⁵⁵>       | <ŋja̱p⁵⁵>              | <ŋja̱p⁵⁵>               |
| 2173 ("clear (water)")                          | Ø         | <kʐəŋ³¹>       | <kjaŋ³⁵>              | <kjaŋ³¹>               |
| 2351 ("cold (weather, water)")                  | Ø         | <kʐuat⁵⁵>      | <kjɔʔ³¹>              | <kjaʔ³¹>               |
| 2387 ("comb")                                   | Ø         | <phʐa³¹>       | <pjɛ̱³⁵>               | <pjɛ̱³⁵>                |
| 3873 ("drop")                                   | Ø         | <kʐua³⁵>       | <kjɔ⁵⁵>               | <kja³⁵>                |
| 4519 ("frighten / scare")                       | Ø         | <xʐoʔ⁵⁵>       | <kja̱uk⁵⁵>             | <kja̱uʔ⁵⁵>              |
| 4565 ("full, be / filled up")                   | Ø         | <pʐəŋ³⁵>       | <pjaŋ⁵⁵>              | <pjaŋ³⁵>               |
| 5731 ("left over, be / remain")                 | Ø         | <m̥ʐat⁵⁵>       | <mjik³¹>              | <mjɔt³¹>               |
| 6414 ("listen")                                 | Ø         | <kʐua³¹>tɕi⁵⁵  | <kjɔ³⁵>ŋɔn³⁵          | <kja³¹>ŋɔn³⁵           |
| 6554 ("loud")                                   | Ø         | <mʐəŋ⁵⁵>       | <mjaŋ³¹>              | <mjaŋ⁵⁵>               |
| 6682 ("manger")                                 | Ø         | <m̥ʐaŋ³¹>xʐoŋ³¹ | <mjɔ̃³⁵>thauŋ³⁵lɔ̱̃³¹    | <mjɔ̃³¹>thauŋ³⁵lɔ̱̃³⁵     |
| 6857 ("meow")                                   | Ø         | <mʐəŋ⁵⁵>       | <mjaŋ³¹>              | <mjaŋ³⁵>               |
| 8168 ("pitiable / pitiful")                     | Ø         | tʂau³¹<kʐo³¹>  | na̱k⁵⁵<mjan³⁵>         | ʃə̆³¹<kja³¹>            |
| 8387 ("porcupine")                              | Ø         | <phʐo⁵⁵>       | <pju̱³¹>               | <pju̱⁵⁵>                |
| 9215 ("rock")                                   | Ø         | <pʐaŋ⁵⁵>       | <pjɔʔ³¹>kjat³¹        | <pjaʔ³¹>tu̱i³⁵          |
| 9477 ("scratch (an itch)")                      | Ø         | <khʐən⁵⁵>      | <kji̱ŋ³¹>              | <kjɔ̱n⁵⁵>               |
| 10226 ("snap (a thread)")                       | Ø         | <phʐat³⁵>      | <phjik⁵⁵>             | <phjɔt⁵⁵>              |
| 10230 ("snap (thread)")                         | Ø         | <pʐat⁵⁵>       | <pjik³¹>              | <pjɔt³¹>               |
| 12871 ("baa / bleat")                           | Ø         | <mʐəŋ⁵⁵>       | <mjaŋ³¹>kha³⁵         | <mjaŋ⁵⁵>khui³⁵         |
| 830 ("bellyband")                               | <mraṅḥ>   | <m̥ʐaŋ³¹>kok⁵⁵  | <mjɔ̃³⁵>khap⁵⁵         | <mjɔ̃³¹>khap⁵⁵          |
| 5276 ("hear")                                   | <kraḥ>    | <kʐua³¹>       | ɣɔ⁵⁵<kjɔ³⁵>           | ɣə̆³¹<kja³¹>            |
| 5368 ("high / tall")                            | <mraṅʔ>   | <m̥ʐaŋ⁵⁵>       | <mjɔ̃³¹>               | <mjɔ̱̃⁵⁵>                |
| 6842 ("see")                                    | <mraṅ>    | en³¹<mʐaŋ⁵⁵>   | <mjɔ̃³¹>               | <mjɔ̃⁵⁵>                |
| 10322 ("pus")                                   | <prañ>    | <pʐəŋ⁵⁵>       | <pjaŋ³¹>              | <pjaŋ⁵⁵>               |
| 10572 ("star")                                  | <kray>    | <khʐə⁵⁵>       | <kji̱³¹>               | <kji̱⁵⁵>                |
| 11254 ("tendon / sinew")                        | aʔ<kro₂ḥ> | a³¹<kʐə³¹>     | ʃɔ̃³⁵<kji³¹>           | ʃă³⁵<kji³¹>            |
| 159 ("afraid, be")                              | <kro₂k>   | Ø              | <kjauk³¹>             | <kjauʔ³¹>              |
| 2356 ("collapse / cave in / fall down")         | <phruiw>  | Ø              | <kjøʔ³¹>              | <kjøʔ³¹>               |
| 7041 ("mosquito")                               | <khraṅ>   | Ø              | <kjɔ̱̃³¹>               | <kjɔ̱̃⁵⁵>                |
| 8882 ("rein in")                                | Ø         | <m̥ʐək⁵⁵>       | <mjak³¹>              | Ø                      |
| 10329 ("soul / spirit")                         | Ø         | a³¹<pʐua⁵⁵>    | sə̆³¹<pjɔ³¹>           | Ø                      |
| 11406 ("thin (hair)")                           | Ø         | <kʐua³¹>       | <kja³¹>               | Ø                      |
| 653 ("barley")                                  | Ø         | Ø              | Ø                     | mɛ³¹<ja⁵¹>             |
| 8381 ("poor (land)")                            | Ø         | Ø              | Ø                     | <kji³⁵>                |
| 9711 ("several / few, a")                       | Ø         | Ø              | Ø                     | <tøʔ³¹>                |
| 2005 ("chopper")                                | Ø         | <mʐau³¹>       | Ø                     | Ø                      |
| 4698 ("get / acquire")                          | Ø         | <ʐua³⁵>        | Ø                     | Ø                      |
| 9979 ("sieve / sift")                           | Ø         | pă³¹<khʐəŋ³¹>  | Ø                     | Ø                      |
| 3420 ("dry")                                    | <khro₂k>  | Ø              | Ø                     | <kja̱uʔ⁵⁵>              |
| 4207 ("flat / shallow")                         | <praḥ>    | Ø              | Ø                     | <pjɛ̱³⁵>                |
| 8682 ("quick / fast")                           | <mran>    | <mʐap⁵⁵>       | Ø                     | Ø                      |
| 9724 ("shadow")                                 | aʔ<rip>   | a³¹<ʐit⁵⁵>     | Ø                     | Ø                      |
| 1067 ("blue")                                   | <pra>     | Ø              | Ø                     | Ø                      |

== Pattern 2: r:ȵ̥:ʔj:ʔj ==
| ID                     | OBurm   | Acha-LC      | Maru        | Bola       |
|------------------------|---------|--------------|-------------|------------|
|                        | r       | ȵ̥            | ʔj          | ʔj         |
| 5243 ("he")            | Ø       | <ȵ̥aŋ³¹>      | <jɔ̃³⁵>      | <jɔ̃³¹>     |
| 11340 ("they two")     | Ø       | <ȵ̥aŋ³¹>n̥ək⁵⁵ | <jɔ̃³⁵>na̱k⁵⁵ | <jɔ̃³¹>tɔ̱̃⁵⁵ |
| 4700 ("get / acquire") | <raʔ>   | Ø            | <ju³¹>      | <ju⁵⁵>     |

== Pattern 3: r:ʐ:jh:aŋ ==
| ID                       | OBurm   | Acha-LC   | Maru      | Bola      |
|--------------------------|---------|-----------|-----------|-----------|
|                          | r       | ʐ         | jh        | aŋ        |
