huang1992tbl:c27.r1	mya	Burmese	sky	n	---	mo⁵⁵	mo⁵⁵
huang1992tbl:c27.r2	mya	Burmese	sun	n	---	ne²²	ne²²
huang1992tbl:c27.r3	mya	Burmese	light	n	---	a⁵³lĩ⁵⁵jɑ̃u²²	a⁵³ lĩ⁵⁵ jɑ̃w²²
huang1992tbl:c27.r4	mya	Burmese	moon	n	---	lɑ⁵³	lɑ⁵³
huang1992tbl:c27.r5	mya	Burmese	star	n	---	tɕɛ²²	ʨɛ²²
huang1992tbl:c27.r6	mya	Burmese	weather	n	---	ja²²tθi²²u⁵³tu⁵³	ja²² tθi²² u⁵³ tu⁵³
huang1992tbl:c27.r7	mya	Burmese	cloud	n	---	tẽ²²	tẽ²²
huang1992tbl:c27.r8	mya	Burmese	thunder	n	---	mo⁵⁵tɕhẽ⁵⁵	mo⁵⁵ ʨʰẽ⁵⁵
huang1992tbl:c27.r9	mya	Burmese	wind	n	---	le²²	le²²
huang1992tbl:c27.r10a	mya	Burmese	rain	n	---	mo⁵⁵	mo⁵⁵
huang1992tbl:c27.r11	mya	Burmese	rainbow	n	---	tθɛʔ⁴tɑ̃⁵³	tθɛʔ⁴ tɑ̃⁵³
huang1992tbl:c27.r12	mya	Burmese	snow	n	---	shi⁵⁵n̥ĩ⁵⁵	sʰi⁵⁵ n̥ĩ⁵⁵
huang1992tbl:c27.r13	mya	Burmese	hail	n	---	mo⁵⁵tθi⁵⁵	mo⁵⁵ tθi⁵⁵
huang1992tbl:c27.r14	mya	Burmese	frost	n	---	hnĩ⁵⁵khɛ⁵⁵	n̥ĩ⁵⁵ kʰɛ⁵⁵
huang1992tbl:c27.r15	mya	Burmese	dew	n	---	n̥ɪ̃⁵⁵	n̥ɪ̃⁵⁵
huang1992tbl:c27.r16	mya	Burmese	fog	n	---	mju²²	mʲu²²
huang1992tbl:c27.r17	mya	Burmese	ice	n	---	je²²khɛ⁵⁵	je²² kʰɛ⁵⁵
huang1992tbl:c27.r18	mya	Burmese	fire	n	---	mi⁵⁵	mi⁵⁵
huang1992tbl:c27.r19	mya	Burmese	smoke	n	---	mi⁵⁵kho⁵⁵	mi⁵⁵ kʰo⁵⁵
huang1992tbl:c27.r20a	mya	Burmese	air; breath	n	---	ɑ⁵³ŋwe⁵³	ɑ⁵³ ŋʷe⁵³
huang1992tbl:c27.r21	mya	Burmese	steam	n	---	je²²nwe⁵⁵ŋwe⁵³	je²² nʷe⁵⁵ ŋʷe⁵³
huang1992tbl:c27.r22	mya	Burmese	earth / ground	n	---	mje²²	mʲe²²
huang1992tbl:c27.r23	mya	Burmese	hill / mountain	n	---	tɑ̃u²²	tɑ̃w²²
huang1992tbl:c27.r24	mya	Burmese	hillside / mountain slope	n	---	tɑ̃u²²sɑ̃u⁵⁵	tɑ̃w²² sɑ̃w⁵⁵
huang1992tbl:c27.r25	mya	Burmese	valley	n	---	ɕo²²m̥jɑ̃u²²	ɕo²² m̥ʲɑ̃w²²
huang1992tbl:c27.r26	mya	Burmese	cliff	n	---	kɑ̃⁵⁵pɑ⁵⁵pjɑʔ⁴	kɑ̃⁵⁵ pɑ⁵⁵ pʲɑʔ⁴
huang1992tbl:c27.r27	mya	Burmese	rock	n	---	tɕɑuʔ⁴sɑ̃i²²	ʨɑuʔ⁴ sɑ̃j²²
huang1992tbl:c27.r28	mya	Burmese	cave (mountain)	n	---	gu²²	ɡu²²
huang1992tbl:c27.r29	mya	Burmese	cave / hole	n	---	ɑ⁵³pɑuʔ⁴	ɑ⁵³ pɑuʔ⁴
huang1992tbl:c27.r30a	mya	Burmese	river	n	---	mjiʔ⁴	mʲiʔ⁴
huang1992tbl:c27.r31	mya	Burmese	lake	n	---	kɑ̃²²	kɑ̃²²
huang1992tbl:c27.r32	mya	Burmese	sea	n	---	pĩ²²lɛ²²	pĩ²² lɛ²²
huang1992tbl:c27.r33	mya	Burmese	pond	n	---	ɑ̃i²²	ɑ̃j²²
huang1992tbl:c27.r34	mya	Burmese	ditch / gully	n	---	mjɑ̃u⁵⁵	mʲɑ̃w⁵⁵
huang1992tbl:c27.r35	mya	Burmese	well	n	---	je²²twĩ⁵⁵	je²² tʷĩ⁵⁵
huang1992tbl:c27.r36	mya	Burmese	pit	n	---	twĩ⁵⁵	tʷĩ⁵⁵
